ID,class
0,9
1,8
2,0
3,2
4,6
5,9
6,5
7,2
8,0
9,0
10,7
11,6
12,1
13,2
14,9
15,8
16,5
17,1
18,8
19,9
20,1
21,9
22,1
23,1
24,7
25,7
26,1
27,1
28,0
29,4
30,5
31,6
32,1
33,4
34,9
35,1
36,5
37,7
38,7
39,6
40,5
41,1
42,1
43,4
44,2
45,2
46,6
47,4
48,3
49,9
50,6
51,6
52,8
53,6
54,1
55,0
56,8
57,0
58,7
59,7
60,2
61,6
62,3
63,2
64,3
65,9
66,0
67,5
68,7
69,6
70,1
71,1
72,3
73,9
74,6
75,4
76,5
77,6
78,1
79,8
80,2
81,5
82,1
83,4
84,1
85,2
86,2
87,7
88,7
89,7
90,0
91,7
92,9
93,6
94,1
95,5
96,6
97,9
98,6
99,1
100,6
101,8
102,1
103,0
104,0
105,3
106,8
107,9
108,7
109,7
110,7
111,1
112,8
113,6
114,0
115,1
116,0
117,4
118,9
119,4
120,0
121,1
122,8
123,6
124,9
125,6
126,2
127,6
128,6
129,7
130,4
131,1
132,8
133,3
134,8
135,9
136,5
137,9
138,7
139,7
140,6
141,6
142,4
143,6
144,8
145,6
146,2
147,6
148,7
149,6
150,5
151,4
152,2
153,2
154,1
155,1
156,6
157,4
158,1
159,8
160,9
161,8
162,8
163,4
164,9
165,9
166,2
167,8
168,8
169,0
170,7
171,6
172,3
173,0
174,9
175,8
176,4
177,8
178,0
179,5
180,5
181,6
182,4
183,2
184,6
185,9
186,9
187,9
188,1
189,3
190,7
191,0
192,2
193,2
194,5
195,5
196,8
197,7
198,9
199,5
200,5
201,6
202,9
203,7
204,0
205,1
206,3
207,5
208,6
209,0
210,7
211,8
212,1
213,3
214,3
215,1
216,4
217,5
218,9
219,6
220,8
221,7
222,0
223,6
224,1
225,7
226,7
227,4
228,5
229,4
230,9
231,1
232,3
233,5
234,1
235,2
236,6
237,4
238,2
239,4
240,6
241,0
242,4
243,7
244,9
245,6
246,6
247,4
248,1
249,4
250,2
251,7
252,0
253,8
254,2
255,6
256,4
257,2
258,9
259,1
260,7
261,1
262,6
263,7
264,0
265,8
266,5
267,7
268,5
269,8
270,9
271,9
272,5
273,7
274,0
275,5
276,9
277,9
278,9
279,4
280,9
281,1
282,7
283,8
284,9
285,6
286,2
287,1
288,1
289,4
290,8
291,2
292,7
293,1
294,5
295,8
296,7
297,4
298,0
299,1
300,1
301,9
302,7
303,1
304,8
305,4
306,0
307,6
308,2
309,5
310,5
311,7
312,0
313,3
314,7
315,2
316,3
317,7
318,3
319,8
320,1
321,6
322,2
323,9
324,6
325,4
326,5
327,7
328,2
329,7
330,1
331,5
332,6
333,7
334,4
335,3
336,0
337,5
338,1
339,0
340,7
341,0
342,8
343,7
344,2
345,8
346,5
347,5
348,6
349,9
350,6
351,9
352,5
353,9
354,9
355,0
356,1
357,6
358,7
359,0
360,0
361,2
362,4
363,0
364,9
365,7
366,1
367,1
368,6
369,5
370,6
371,9
372,6
373,5
374,1
375,9
376,9
377,9
378,9
379,2
380,0
381,3
382,1
383,8
384,8
385,7
386,9
387,1
388,1
389,5
390,6
391,3
392,8
393,0
394,6
395,0
396,9
397,5
398,3
399,7
400,5
401,4
402,6
403,5
404,0
405,4
406,8
407,2
408,8
409,6
410,6
411,8
412,0
413,9
414,6
415,3
416,0
417,5
418,1
419,9
420,0
421,3
422,6
423,9
424,6
425,8
426,5
427,6
428,0
429,2
430,8
431,6
432,6
433,4
434,1
435,6
436,0
437,7
438,8
439,7
440,6
441,7
442,1
443,0
444,7
445,1
446,4
447,0
448,5
449,6
450,5
451,1
452,1
453,6
454,6
455,3
456,7
457,5
458,6
459,9
460,9
461,8
462,1
463,5
464,6
465,2
466,0
467,7
468,8
469,8
470,9
471,0
472,8
473,5
474,4
475,6
476,7
477,1
478,6
479,6
480,1
481,8
482,5
483,7
484,8
485,5
486,1
487,4
488,6
489,3
490,0
491,9
492,5
493,0
494,8
495,8
496,7
497,6
498,7
499,1
500,2
501,9
502,0
503,7
504,1
505,7
506,6
507,2
508,2
509,2
510,0
511,9
512,8
513,3
514,0
515,8
516,2
517,4
518,5
519,4
520,5
521,2
522,7
523,7
524,9
525,7
526,6
527,6
528,0
529,7
530,6
531,3
532,8
533,6
534,7
535,1
536,6
537,7
538,7
539,4
540,7
541,4
542,0
543,9
544,6
545,7
546,9
547,1
548,9
549,6
550,9
551,1
552,5
553,1
554,1
555,7
556,6
557,9
558,6
559,5
560,1
561,6
562,7
563,2
564,6
565,5
566,9
567,9
568,5
569,8
570,5
571,8
572,0
573,2
574,4
575,2
576,0
577,4
578,9
579,4
580,9
581,7
582,3
583,6
584,7
585,4
586,4
587,6
588,7
589,6
590,5
591,8
592,0
593,7
594,4
595,8
596,1
597,2
598,4
599,6
600,8
601,8
602,0
603,3
604,1
605,0
606,4
607,8
608,3
609,5
610,4
611,0
612,1
613,9
614,4
615,5
616,2
617,6
618,7
619,8
620,1
621,5
622,0
623,5
624,5
625,7
626,4
627,5
628,9
629,5
630,6
631,9
632,8
633,0
634,1
635,8
636,0
637,8
638,0
639,1
640,1
641,1
642,2
643,4
644,5
645,0
646,7
647,5
648,8
649,5
650,7
651,7
652,5
653,0
654,5
655,2
656,8
657,4
658,7
659,6
660,8
661,4
662,3
663,7
664,7
665,6
666,5
667,4
668,6
669,8
670,9
671,8
672,5
673,7
674,4
675,1
676,9
677,6
678,9
679,5
680,5
681,8
682,8
683,3
684,5
685,2
686,7
687,5
688,7
689,2
690,9
691,8
692,9
693,7
694,8
695,8
696,8
697,5
698,7
699,0
700,9
701,3
702,9
703,3
704,6
705,0
706,5
707,0
708,4
709,8
710,3
711,8
712,1
713,4
714,2
715,3
716,5
717,7
718,8
719,0
720,4
721,6
722,1
723,7
724,7
725,6
726,1
727,8
728,9
729,7
730,7
731,4
732,1
733,1
734,0
735,9
736,3
737,4
738,6
739,6
740,8
741,5
742,4
743,5
744,2
745,4
746,2
747,4
748,6
749,9
750,1
751,4
752,6
753,7
754,6
755,8
756,0
757,2
758,8
759,6
760,3
761,0
762,6
763,8
764,6
765,6
766,4
767,5
768,5
769,5
770,8
771,2
772,4
773,9
774,2
775,2
776,0
777,1
778,6
779,1
780,3
781,1
782,9
783,3
784,4
785,9
786,7
787,6
788,1
789,9
790,1
791,1
792,4
793,7
794,5
795,7
796,9
797,3
798,8
799,1
800,7
801,7
802,5
803,6
804,7
805,2
806,4
807,7
808,6
809,0
810,6
811,8
812,9
813,5
814,2
815,9
816,0
817,4
818,1
819,9
820,8
821,8
822,5
823,8
824,9
825,6
826,7
827,6
828,9
829,5
830,0
831,5
832,8
833,4
834,6
835,5
836,0
837,0
838,9
839,5
840,4
841,9
842,6
843,1
844,3
845,1
846,8
847,0
848,1
849,0
850,7
851,6
852,5
853,7
854,0
855,6
856,6
857,0
858,6
859,3
860,9
861,5
862,9
863,8
864,7
865,0
866,9
867,4
868,9
869,7
870,9
871,4
872,2
873,1
874,2
875,3
876,6
877,9
878,2
879,8
880,1
881,6
882,4
883,0
884,0
885,5
886,5
887,6
888,9
889,1
890,5
891,4
892,8
893,0
894,5
895,6
896,3
897,8
898,9
899,8
900,0
901,0
902,1
903,9
904,6
905,5
906,0
907,5
908,6
909,6
910,5
911,7
912,9
913,6
914,7
915,3
916,5
917,3
918,2
919,1
920,7
921,2
922,0
923,5
924,0
925,5
926,9
927,2
928,7
929,6
930,8
931,0
932,5
933,6
934,0
935,5
936,9
937,1
938,7
939,9
940,0
941,7
942,8
943,9
944,6
945,8
946,6
947,6
948,9
949,5
950,4
951,5
952,4
953,9
954,1
955,0
956,5
957,0
958,8
959,2
960,3
961,5
962,9
963,1
964,1
965,0
966,1
967,5
968,7
969,5
970,4
971,5
972,8
973,1
974,9
975,8
976,0
977,7
978,3
979,8
980,6
981,5
982,9
983,2
984,7
985,1
986,3
987,6
988,6
989,9
990,4
991,9
992,1
993,4
994,6
995,3
996,1
997,7
998,1
999,6
1000,2
1001,6
1002,6
1003,7
1004,0
1005,2
1006,6
1007,5
1008,9
1009,5
1010,7
1011,1
1012,7
1013,7
1014,0
1015,7
1016,5
1017,9
1018,6
1019,4
1020,2
1021,1
1022,7
1023,2
1024,3
1025,5
1026,3
1027,1
1028,9
1029,3
1030,8
1031,0
1032,9
1033,5
1034,8
1035,1
1036,0
1037,1
1038,6
1039,8
1040,2
1041,6
1042,3
1043,2
1044,3
1045,0
1046,5
1047,1
1048,6
1049,5
1050,6
1051,7
1052,7
1053,1
1054,6
1055,1
1056,9
1057,4
1058,6
1059,8
1060,6
1061,4
1062,5
1063,8
1064,6
1065,8
1066,6
1067,1
1068,9
1069,6
1070,4
1071,4
1072,7
1073,8
1074,7
1075,4
1076,1
1077,7
1078,8
1079,9
1080,1
1081,6
1082,7
1083,9
1084,1
1085,9
1086,5
1087,9
1088,9
1089,1
1090,6
1091,8
1092,9
1093,0
1094,3
1095,8
1096,7
1097,3
1098,8
1099,8
1100,8
1101,7
1102,3
1103,5
1104,5
1105,4
1106,0
1107,9
1108,1
1109,2
1110,6
1111,6
1112,4
1113,9
1114,0
1115,4
1116,7
1117,8
1118,8
1119,5
1120,8
1121,2
1122,6
1123,6
1124,6
1125,0
1126,1
1127,0
1128,3
1129,1
1130,6
1131,5
1132,9
1133,2
1134,4
1135,5
1136,1
1137,4
1138,8
1139,4
1140,6
1141,5
1142,7
1143,1
1144,9
1145,5
1146,7
1147,6
1148,0
1149,6
1150,2
1151,6
1152,8
1153,9
1154,6
1155,7
1156,9
1157,2
1158,8
1159,7
1160,6
1161,6
1162,2
1163,5
1164,7
1165,6
1166,0
1167,0
1168,1
1169,8
1170,1
1171,1
1172,0
1173,2
1174,1
1175,5
1176,6
1177,1
1178,8
1179,9
1180,1
1181,8
1182,8
1183,8
1184,1
1185,4
1186,8
1187,1
1188,2
1189,9
1190,6
1191,1
1192,3
1193,2
1194,1
1195,8
1196,5
1197,5
1198,9
1199,1
1200,3
1201,6
1202,4
1203,6
1204,1
1205,4
1206,2
1207,4
1208,7
1209,2
1210,4
1211,1
1212,6
1213,9
1214,7
1215,6
1216,8
1217,1
1218,9
1219,6
1220,5
1221,5
1222,9
1223,8
1224,8
1225,0
1226,6
1227,3
1228,5
1229,5
1230,0
1231,1
1232,8
1233,9
1234,2
1235,6
1236,4
1237,0
1238,4
1239,8
1240,1
1241,4
1242,4
1243,1
1244,5
1245,9
1246,1
1247,3
1248,7
1249,7
1250,8
1251,5
1252,2
1253,4
1254,9
1255,1
1256,5
1257,1
1258,3
1259,5
1260,6
1261,6
1262,6
1263,7
1264,9
1265,4
1266,6
1267,9
1268,9
1269,1
1270,8
1271,3
1272,8
1273,0
1274,0
1275,6
1276,8
1277,4
1278,4
1279,2
1280,5
1281,4
1282,8
1283,0
1284,1
1285,3
1286,6
1287,6
1288,7
1289,6
1290,6
1291,0
1292,5
1293,0
1294,7
1295,0
1296,6
1297,0
1298,7
1299,9
1300,2
1301,6
1302,3
1303,6
1304,2
1305,3
1306,5
1307,3
1308,7
1309,0
1310,8
1311,5
1312,4
1313,8
1314,8
1315,2
1316,2
1317,4
1318,5
1319,1
1320,6
1321,2
1322,1
1323,5
1324,8
1325,0
1326,4
1327,4
1328,1
1329,8
1330,9
1331,7
1332,7
1333,4
1334,5
1335,3
1336,1
1337,0
1338,9
1339,7
1340,7
1341,8
1342,0
1343,7
1344,9
1345,7
1346,8
1347,5
1348,8
1349,5
1350,6
1351,0
1352,6
1353,8
1354,0
1355,2
1356,4
1357,5
1358,7
1359,5
1360,4
1361,7
1362,7
1363,7
1364,9
1365,2
1366,5
1367,8
1368,8
1369,0
1370,8
1371,1
1372,1
1373,9
1374,9
1375,6
1376,9
1377,3
1378,5
1379,6
1380,7
1381,2
1382,5
1383,1
1384,3
1385,4
1386,8
1387,6
1388,9
1389,8
1390,6
1391,0
1392,2
1393,5
1394,5
1395,4
1396,2
1397,8
1398,1
1399,6
1400,2
1401,9
1402,7
1403,6
1404,6
1405,5
1406,1
1407,9
1408,1
1409,0
1410,8
1411,1
1412,1
1413,8
1414,9
1415,9
1416,3
1417,0
1418,8
1419,4
1420,9
1421,5
1422,1
1423,8
1424,5
1425,5
1426,9
1427,4
1428,8
1429,9
1430,2
1431,5
1432,0
1433,9
1434,0
1435,5
1436,7
1437,8
1438,7
1439,5
1440,1
1441,2
1442,8
1443,4
1444,5
1445,7
1446,9
1447,9
1448,7
1449,5
1450,8
1451,4
1452,8
1453,4
1454,0
1455,2
1456,7
1457,7
1458,3
1459,8
1460,4
1461,9
1462,8
1463,6
1464,8
1465,2
1466,6
1467,4
1468,1
1469,3
1470,5
1471,5
1472,4
1473,5
1474,6
1475,3
1476,5
1477,4
1478,9
1479,7
1480,9
1481,3
1482,5
1483,7
1484,6
1485,8
1486,9
1487,5
1488,2
1489,1
1490,8
1491,8
1492,6
1493,4
1494,9
1495,5
1496,0
1497,5
1498,7
1499,6
1500,9
1501,4
1502,8
1503,5
1504,2
1505,7
1506,5
1507,3
1508,6
1509,0
1510,6
1511,8
1512,9
1513,9
1514,7
1515,5
1516,4
1517,9
1518,9
1519,7
1520,1
1521,0
1522,6
1523,3
1524,6
1525,5
1526,0
1527,2
1528,7
1529,0
1530,1
1531,8
1532,7
1533,5
1534,5
1535,1
1536,9
1537,4
1538,4
1539,7
1540,5
1541,6
1542,6
1543,5
1544,4
1545,1
1546,5
1547,8
1548,9
1549,9
1550,5
1551,5
1552,6
1553,4
1554,4
1555,8
1556,6
1557,1
1558,4
1559,1
1560,1
1561,4
1562,6
1563,6
1564,4
1565,8
1566,6
1567,7
1568,5
1569,6
1570,3
1571,0
1572,8
1573,3
1574,0
1575,6
1576,7
1577,7
1578,0
1579,0
1580,9
1581,6
1582,7
1583,0
1584,0
1585,9
1586,1
1587,2
1588,5
1589,5
1590,1
1591,6
1592,8
1593,0
1594,2
1595,3
1596,7
1597,9
1598,1
1599,6
1600,7
1601,3
1602,1
1603,5
1604,0
1605,4
1606,0
1607,4
1608,9
1609,5
1610,5
1611,8
1612,1
1613,9
1614,9
1615,0
1616,4
1617,2
1618,9
1619,6
1620,1
1621,9
1622,1
1623,2
1624,5
1625,6
1626,2
1627,9
1628,9
1629,1
1630,5
1631,5
1632,6
1633,5
1634,0
