ID,class
0,9
1,1
2,0
3,5
4,5
5,9
6,5
7,9
8,0
9,0
10,7
11,5
12,1
13,7
14,9
15,8
16,5
17,9
18,0
19,9
20,9
21,9
22,1
23,1
24,1
25,7
26,9
27,9
28,0
29,7
30,5
31,7
32,0
33,7
34,9
35,9
36,5
37,5
38,7
39,7
40,5
41,9
42,1
43,7
44,7
45,5
46,5
47,9
48,5
49,1
50,9
51,9
52,7
53,9
54,1
55,0
56,8
57,0
58,7
59,7
60,5
61,9
62,7
63,0
64,5
65,9
66,0
67,5
68,5
69,9
70,1
71,9
72,5
73,9
74,6
75,1
76,5
77,1
78,9
79,8
80,7
81,5
82,1
83,5
84,1
85,8
86,7
87,9
88,7
89,7
90,0
91,7
92,9
93,9
94,9
95,5
96,7
97,1
98,5
99,9
100,9
101,0
102,9
103,0
104,0
105,5
106,1
107,1
108,7
109,5
110,7
111,1
112,0
113,9
114,0
115,1
116,9
117,7
118,9
119,5
120,0
121,1
122,5
123,6
124,1
125,6
126,7
127,6
128,5
129,7
130,9
131,1
132,9
133,5
134,8
135,9
136,9
137,9
138,7
139,9
140,1
141,5
142,7
143,5
144,8
145,1
146,0
147,6
148,9
149,9
150,7
151,7
152,0
153,7
154,1
155,1
156,5
157,8
158,1
159,0
160,9
161,8
162,0
163,9
164,1
165,9
166,9
167,1
168,8
169,0
170,7
171,5
172,5
173,0
174,9
175,1
176,1
177,8
178,1
179,5
180,5
181,9
182,5
183,9
184,7
185,9
186,9
187,9
188,1
189,5
190,7
191,0
192,0
193,5
194,5
195,5
196,8
197,7
198,1
199,5
200,1
201,5
202,9
203,7
204,0
205,1
206,5
207,5
208,5
209,8
210,5
211,0
212,9
213,5
214,5
215,1
216,5
217,5
218,9
219,9
220,0
221,7
222,7
223,6
224,1
225,5
226,5
227,5
228,5
229,7
230,9
231,9
232,9
233,9
234,1
235,1
236,8
237,7
238,7
239,6
240,5
241,0
242,7
243,7
244,9
245,9
246,6
247,5
248,1
249,7
250,7
251,9
252,0
253,8
254,5
255,5
256,6
257,5
258,9
259,5
260,5
261,1
262,6
263,5
264,0
265,8
266,5
267,9
268,1
269,8
270,9
271,9
272,5
273,7
274,0
275,5
276,9
277,9
278,9
279,7
280,1
281,9
282,5
283,8
284,1
285,1
286,5
287,8
288,7
289,7
290,0
291,7
292,7
293,1
294,5
295,0
296,7
297,5
298,5
299,9
300,1
301,0
302,7
303,9
304,0
305,7
306,0
307,6
308,0
309,5
310,5
311,7
312,0
313,5
314,9
315,5
316,7
317,7
318,7
319,8
320,9
321,6
322,5
323,9
324,6
325,5
326,5
327,9
328,1
329,7
330,1
331,5
332,9
333,7
334,0
335,5
336,8
337,5
338,0
339,0
340,7
341,9
342,8
343,7
344,5
345,9
346,5
347,5
348,5
349,9
350,5
351,9
352,0
353,8
354,9
355,0
356,9
357,3
358,7
359,0
360,8
361,9
362,5
363,0
364,1
365,9
366,9
367,1
368,5
369,5
370,1
371,9
372,3
373,5
374,1
375,9
376,9
377,1
378,9
379,7
380,2
381,5
382,1
383,0
384,1
385,5
386,1
387,1
388,1
389,5
390,9
391,7
392,9
393,0
394,3
395,7
396,1
397,5
398,9
399,7
400,5
401,0
402,5
403,5
404,0
405,6
406,8
407,5
408,8
409,9
410,1
411,8
412,1
413,9
414,9
415,7
416,0
417,7
418,1
419,9
420,0
421,5
422,5
423,9
424,9
425,8
426,5
427,5
428,1
429,9
430,8
431,9
432,5
433,6
434,1
435,9
436,0
437,7
438,9
439,7
440,9
441,9
442,1
443,7
444,9
445,1
446,5
447,9
448,5
449,5
450,5
451,9
452,7
453,9
454,9
455,5
456,7
457,5
458,5
459,9
460,9
461,7
462,1
463,5
464,5
465,2
466,0
467,7
468,9
469,0
470,9
471,0
472,9
473,5
474,5
475,6
476,7
477,1
478,6
479,6
480,1
